Month,story_id,Region,Event count
Apr-2026,40218409,Uttar Pradesh,303329
Apr-2026,40210995,Uttar Pradesh,215057
Apr-2026,40206690,Uttar Pradesh,159869
Apr-2026,40212289,Uttar Pradesh,156830
Apr-2026,40191298,Uttar Pradesh,155579
Apr-2026,40216784,Uttar Pradesh,131083
Apr-2026,40213725,Uttar Pradesh,123698
Apr-2026,40217588,Uttar Pradesh,111291
Apr-2026,40215267,Uttar Pradesh,108292
Apr-2026,40209701,Uttar Pradesh,107393
Apr-2026,40218409,Delhi Division,104623
Apr-2026,40194064,Uttar Pradesh,100160
Apr-2026,40211407,Uttar Pradesh,100036
Apr-2026,40206250,Bihar,96720
Apr-2026,40197607,Uttar Pradesh,96223
Apr-2026,40191751,Uttar Pradesh,94970
Apr-2026,40194454,Uttar Pradesh,93720
Apr-2026,40215202,Bihar,91478
Apr-2026,40213862,Uttar Pradesh,91408
Apr-2026,40217359,Uttar Pradesh,87584
Apr-2026,40213429,Uttar Pradesh,84155
Apr-2026,40218409,Bihar,81971
Apr-2026,40218409,Rajasthan,81746
Apr-2026,40218409,Madhya Pradesh,79671
Apr-2026,40196898,Uttar Pradesh,78935
Apr-2026,40196966,Uttar Pradesh,78256
Apr-2026,40204005,Uttar Pradesh,76920
Apr-2026,40218409,Maharashtra,74787
Apr-2026,40207149,Uttar Pradesh,73120
Apr-2026,40216783,Delhi Division,72955
Apr-2026,40205509,Delhi Division,71071
Apr-2026,40205509,Uttar Pradesh,70057
Apr-2026,40214870,Uttar Pradesh,69735
Apr-2026,40196934,Uttar Pradesh,64029
Apr-2026,40218109,Uttar Pradesh,62993
Apr-2026,40200502,Uttar Pradesh,62754
Apr-2026,40209228,Bihar,62635
Apr-2026,40202249,Uttar Pradesh,60883
Apr-2026,40198021,Bihar,59454
Apr-2026,40211218,Uttar Pradesh,58298
Apr-2026,40195628,Delhi Division,58179
Apr-2026,40215862,Delhi Division,57813
Apr-2026,40216564,Uttar Pradesh,57797
Apr-2026,40204005,Maharashtra,57727
Apr-2026,40211638,Bihar,56773
Apr-2026,40206400,Uttar Pradesh,56570
Apr-2026,40220557,Uttar Pradesh,56452
Apr-2026,40191298,Bihar,55974
Apr-2026,40197352,Uttar Pradesh,55858
Apr-2026,40209211,Uttar Pradesh,55617
Apr-2026,40193718,Bihar,55580
Apr-2026,40200882,Uttar Pradesh,55272
Apr-2026,40199585,Haryana,55213
Apr-2026,40208715,Uttar Pradesh,55116
Apr-2026,40191298,Madhya Pradesh,54783
Apr-2026,40221909,Uttar Pradesh,54581
Apr-2026,40194157,Uttar Pradesh,53997
Apr-2026,40214608,Uttar Pradesh,53854
Apr-2026,40220181,Delhi Division,53760
Apr-2026,40218409,Haryana,53447
Apr-2026,40205277,Bihar,52960
Apr-2026,40221583,Uttar Pradesh,52723
Apr-2026,40191298,Delhi Division,52710
Apr-2026,40205375,Uttar Pradesh,52210
Apr-2026,40201655,Uttar Pradesh,51887
Apr-2026,40197034,Delhi Division,51781
Apr-2026,40210075,Uttar Pradesh,51781
Apr-2026,40197860,Uttar Pradesh,51149
Apr-2026,40194465,Madhya Pradesh,51125
Apr-2026,40197034,Haryana,51102
Apr-2026,40189236,Uttar Pradesh,51040
Apr-2026,40209701,Bihar,50509
Apr-2026,40194503,Uttar Pradesh,49993
Apr-2026,30000440,Uttar Pradesh,48885
Apr-2026,40216939,Bihar,48624
Apr-2026,40191298,Rajasthan,48433
Apr-2026,40217523,Uttar Pradesh,48063
Apr-2026,40196958,Uttar Pradesh,47576
Apr-2026,40200797,Delhi Division,47312
Apr-2026,40209701,Delhi Division,47233
Apr-2026,40209311,Uttar Pradesh,45787
Apr-2026,40215447,Punjab,45336
Apr-2026,40216320,Uttar Pradesh,45145
Apr-2026,40205401,Uttar Pradesh,44943
Apr-2026,30000450,Uttar Pradesh,44549
Apr-2026,40208709,Uttar Pradesh,44086
Apr-2026,40191298,Maharashtra,43989
Apr-2026,30000460,Uttar Pradesh,43749
Apr-2026,40213913,Bihar,43166
Apr-2026,40197992,Uttar Pradesh,42761
Apr-2026,40209701,Maharashtra,42441
Apr-2026,30000412,Uttar Pradesh,42130
Apr-2026,40206475,Maharashtra,41891
Apr-2026,40216631,Uttar Pradesh,41845
Apr-2026,40216756,Uttar Pradesh,41713
Apr-2026,40203981,Uttar Pradesh,41498
Apr-2026,40198110,Uttar Pradesh,41272
Apr-2026,40202391,Uttar Pradesh,41141
Apr-2026,40215278,Uttar Pradesh,41094
Apr-2026,40194503,Maharashtra,40987
Apr-2026,40220181,Haryana,40700
Apr-2026,40204055,Bihar,40677
Apr-2026,40196785,Bihar,40605
Apr-2026,40216403,Uttar Pradesh,40558
Apr-2026,40212022,Uttar Pradesh,40378
Apr-2026,40211944,Bihar,40330
Apr-2026,40211301,Bihar,40283
Apr-2026,40195084,Maharashtra,39951
Apr-2026,40209922,Uttar Pradesh,39905
Apr-2026,40214483,Uttar Pradesh,39802
Apr-2026,40220181,Uttar Pradesh,39736
Apr-2026,40194675,Maharashtra,39724
Apr-2026,40200085,Madhya Pradesh,39686
Apr-2026,40205296,Uttar Pradesh,39449
Apr-2026,40205812,Uttar Pradesh,38914
Apr-2026,40207845,Uttar Pradesh,38889
Apr-2026,40218830,Uttar Pradesh,38793
Apr-2026,40216634,Uttar Pradesh,38698
Apr-2026,40216342,Uttar Pradesh,38644
Apr-2026,40191589,Bihar,38186
Apr-2026,40189236,Maharashtra,37601
Apr-2026,40194047,Delhi Division,37592
Apr-2026,40194047,Uttar Pradesh,37555
Apr-2026,40205240,Uttar Pradesh,37531
Apr-2026,40206342,Bihar,37317
Apr-2026,40208396,Madhya Pradesh,37257
Apr-2026,40195903,Uttar Pradesh,37185
Apr-2026,40200632,Uttar Pradesh,36946
Apr-2026,40209590,Uttar Pradesh,36734
Apr-2026,40192305,Maharashtra,36709
Apr-2026,40215835,Delhi Division,36590
Apr-2026,40200502,Maharashtra,36565
Apr-2026,40204005,Delhi Division,36363
Apr-2026,40207826,Uttar Pradesh,36329
Apr-2026,40206690,Bihar,36232
